name,score
a,5
b,13
b,2
b,8
b,11
b,2
b,8
b,4
b,11
b,51
b,8
b,4
b,4
b,4
b,3
b,4
b,0
b,0
b,0
b,0
b,0
b,1
b,0
b,1
b,0
b,1
b,1
b,0
b,1
b,0
b,0
b,1
b,0
b,0
b,4
b,0
b,0
